,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
10,friends,amendments,union,government,campaign,different,confirmed,time,won,loving,website,free,insert,australians,national,stand,federation,unions,child,marriages,section,support,words,life,today,country,equality,coalition,make,serving,really,regardless,defend,australians,30,letters,civil,prohibiting,flowers,pope,law,celebrants,pointing,centre,hatred,1999,greens,religion
11,campaign,protect,child,question,poll,society,dgr,australia,bells,community,civil,family,section,protections,vote,say,state,support,territory,years,thousands,changes,original,stance,just,couples,preference,couples,able,personnel,behalf,place,slippery,apply,second,view,religious,imposing,play,cardinal,respect,antidiscrimination,children,community,committee,run,marriages,basis
12,long,yes,relationship,yes,money,chamber,organisations,world,country,amendment,lists,australian,act,majority,government,know,bishop,suggestion,adoptions,heterosexuals,lesbian,sex,addressed,number,want,laws,1967,removed,noise,senate,references,legislate,parliament,additional,return,private,don,protections,liberty,newman,nation,labor,safe,shelton,let,advertisements,comment,law
13,years,views,traditional,process,government,quite,unlikely,man,ignorance,legislation,window,leader,paragraph,change,turnbull,vote,agencies,love,policy,recognition,exclusion,believe,honourable,story,like,understanding,changes,deputy,vote,officers,cathy,equal,relation,fix,speaker,emails,bit,australian,castle,principle,australian,freedom,josh,wales,supporting,arguments,allows,universal
14,vote,parental,mother,respect,prime,views,advice,homosexual,ready,remove,decide,2012,line,freedoms,debate,matter,employment,children,commonwealth,said,government,issues,inevitably,internal,process,law,remained,greens,conscience,objection,make,joy,throsby,lgbti,suspension,issue,course,observance,home,theologian,day,radically,sex,national,unamended,voted,right,nations
15,time,house,father,leader,young,place,advancing,books,right,family,final,percent,holds,result,house,coalition,catholic,foy,relation,men,gay,different,cunningham,catholic,hard,marriages,1902,firm,object,conscientious,cities,work,participated,australian,defer,respect,christians,strongest,event,henry,parliament,practice,talk,south,canning,boards,potentially,tribunal
16,young,voted,love,democratic,country,risk,unnecessary,tyranny,bigotry,lesbians,celebrant,years,organisations,sex,just,expressed,england,sides,australia,marital,ordinary,electorate,suggests,skin,thank,1961,late,policy,checked,select,towns,member,way,statistics,deputy,contacted,freedom,religious,happens,minor,let,opposes,working,stories,member,ironic,particularly,hauled
17,like,express,natural,nation,right,forward,entity,queensland,vote,acceptable,sex,points,body,participation,members,promises,maronite,father,provision,say,discriminate,relation,inquiry,conflict,moment,reiterated,australian,parkinson,barker,forces,bring,make,remove,opportunity,start,members,today,test,education,deficiency,given,state,dress,consultations,amendment,curious,committee,civil
18,lgbti,definition,legislation,australians,minister,actually,funding,want,sweet,spouse,religion,coalition,beliefs,views,room,promise,christians,okay,provisions,social,life,consistent,proceedings,tell,lives,countries,gladys,functional,ordinarily,armed,country,time,community,notwithstanding,question,email,function,trust,don,religion,long,ministers,girl,personal,increase,painted,agents,manifest
19,hurt,beliefs,sex,democracy,health,act,reason,came,time,area,separate,ending,purposes,western,end,95,schools,constituents,federal,marry,country,fair,view,wife,long,australia,sexual,campaign,tabling,improve,parkes,country,legislation,measures,orders,relationship,exercising,section,say,theology,today,exemptions,betrayed,chamber,war,brainwashing,civil,limitations
