,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
10,love,amendments,love,referendum,member,gippsland,confirmed,votes,bells,ending,authorised,free,beliefs,process,delay,overseas,flowers,raised,website,heterosexuals,gay,vote,constituents,30,business,current,mildred,view,life,community,personnel,exemptions,religion,family,federation,australian,late,read,words,definition,liberal,totally,cardinal,act,voted,percent,honourable
11,long,australians,equality,200,turnbull,sex,dgr,priest,ignorance,view,religious,vote,purposes,respect,kennedy,adoptions,liberty,unions,civil,marital,union,policy,private,second,national,1961,crime,parliament,stance,bring,serving,solemnise,law,acceptable,agencies,exclusion,remained,conscience,addressed,marriages,thank,amending,newman,commonwealth,respect,betrayed,couples
12,proud,protect,father,democracy,vote,issues,organisations,book,hate,matter,11,conference,authority,change,committee,territory,castle,suggestion,decide,recognition,government,promises,email,return,wales,unnecessary,australia,freedom,number,australia,senate,civil,basis,recognition,employment,christian,accordingly,able,cunningham,reiterated,want,talking,principle,teaching,nation,bit,wedge
13,time,views,natural,labor,country,vote,unlikely,came,sweet,member,traditional,debate,conduct,majority,hatred,policy,religious,sides,lists,men,voluntarily,greens,contacted,speaker,shelton,divisive,aboriginal,participated,story,asking,objection,protection,civil,state,religion,coalition,changed,object,inevitably,countries,brisbane,refer,religious,doesn,day,daughter,1998
14,finally,voted,parent,parliament,members,changes,advice,dress,bigotry,2012,17,coalition,contravention,protections,greens,child,home,foy,window,said,discriminate,stand,matter,suspension,south,intention,richard,argument,internal,regional,officers,opposes,universal,absolutely,catholic,development,preference,barker,original,understanding,just,overwhelmingly,theologian,constitution,australian,difference,member
15,like,definition,consequences,community,government,electorate,advancing,lot,sing,pieces,lines,conscience,body,result,let,provisions,say,love,sex,marriages,entered,labor,alp,defer,centre,statute,states,denial,tell,like,forces,laws,nations,seven,bishop,relationship,gladys,checked,suggests,couples,moment,ask,henry,lawful,parliament,working,prime
16,young,parental,just,opposition,lgbti,current,unnecessary,seen,country,removed,refusal,years,insert,freedoms,protections,provision,happens,homophobic,final,social,ordinary,promise,correspondence,deputy,personal,affirms,virginia,legislation,conflict,commitment,select,want,tribunal,concerned,schools,strengthen,reflected,ordinarily,inquiry,provisions,democracy,country,religion,shall,let,talk,package
17,years,beliefs,heterosexual,sex,political,change,reason,want,short,laws,exemptions,prime,organisations,participation,risk,australia,want,okay,celebrant,issue,discriminatory,ha,particularly,question,electorate,relationships,south,member,catholic,today,conscientious,existing,hauled,recognised,england,sanctity,debate,make,view,concern,courage,areas,deficiency,introduce,love,safe,minister
18,vote,express,relationship,question,national,act,fringe,just,proud,submission,section,percent,meaning,sex,unamended,adopt,event,children,separate,threat,country,clear,members,speech,stories,justice,like,couples,skin,reverend,armed,labor,limitations,sex,maronite,status,principles,tabling,proceedings,laws,like,special,theology,116,today,girl,introduced
19,hard,house,legal,harm,australia,support,commission,dressed,person,amendment,celebrants,sex,based,views,don,matter,don,alice,religion,say,88ea,expressed,support,start,case,important,used,debate,wife,young,improve,marriages,morals,families,christianity,modern,commonwealth,letter,honourable,arrangements,hard,needs,drink,sections,long,fears,lesbian
